Date,Open,High,Low,Close,Volume,Adj Close
2012-11-08,6.6,6.7,6.5,6.59,617700,6.59
2012-11-09,6.6,6.6,6.32,6.41,1119300,6.41
2012-11-12,6.4,6.52,6.36,6.49,849000,6.49
2012-11-13,6.59,6.6,6.44,6.55,406000,6.55
2012-11-14,6.51,6.55,6.34,6.4,758500,6.4
2012-11-15,6.33,6.61,6.32,6.5,1255500,6.5
2012-11-16,6.36,6.45,6.28,6.34,1009500,6.34
2012-11-19,6.1,6.1,5.94,6.03,1566500,6.03
2012-11-20,6.12,6.42,6.08,6.3,1388700,6.3
2012-11-21,6.26,6.39,6.21,6.22,1014300,6.22
2012-11-22,6.27,6.3,6.25,6.25,189800,6.25
2012-11-23,6.23,6.23,6.09,6.15,555200,6.15
2012-11-26,6.24,6.25,6.18,6.19,730400,6.19
2012-11-27,6.22,6.32,6.17,6.28,956600,6.28
2012-11-28,6.5,6.53,6.34,6.34,1222200,6.34
2012-11-29,6.1,6.2,6.06,6.18,1165000,6.18
2012-11-30,6.11,6.12,6.02,6.03,1360500,6.03
2012-12-03,5.86,6.04,5.83,6.01,1436900,6.01
2012-12-04,6.15,6.17,6.03,6.09,974800,6.09
2012-12-05,6.09,6.21,6.08,6.16,1251500,6.16
2012-12-06,6.33,6.46,6.31,6.37,1564200,6.37
2012-12-07,6.38,6.45,6.34,6.42,447600,6.42
2012-12-10,6.4,6.52,6.35,6.47,494000,6.47
2012-12-11,6.48,6.54,6.44,6.44,711100,6.44
2012-12-12,6.28,6.41,6.18,6.32,1208000,6.32
2012-12-13,6.38,6.45,6.3,6.38,1025400,6.38
2012-12-14,6.37,6.4,6.3,6.3,384900,6.3
2012-12-17,6.3,6.3,6.19,6.22,1939600,6.22
2012-12-18,6.19,6.25,6.13,6.15,1695400,6.15
2012-12-19,6.13,6.15,5.89,5.96,2153600,5.96
2012-12-20,5.98,6,5.87,5.94,1278800,5.94
2012-12-21,6.13,6.19,6.07,6.08,1563800,6.08
2012-12-24,6.13,6.16,6.11,6.12,398300,6.12
2012-12-27,5.8,5.91,5.75,5.76,2033700,5.76
2012-12-28,5.77,5.86,5.74,5.81,1485600,5.81
2012-12-31,5.85,5.86,5.66,5.7,1455700,5.7
